Website,Aims/Objectives/Mission,Pin,Mobile,name,Phone,Purpose,Add.,Email,Contact Person
http://www.ndka.com,Empower the sport karate.,110092,91-99117 12859,New Delhi Karate Association,91-11-22473658,Empower the sport karate.,"B-11/1, West Vinod Nagar
Delhi",ram.verma@pathinfotech.com,Ram Verma
,To educate & improve the skills of the youths from the educationally & economically backward classes & slum areas.,110005,91-98680 56541,New Educational & Handicrafts Academy,,Social welfare.,"370/12, Krishna Street
New Delhi",,Ram Krishna
,Social welfare.,110041,91-99100 34086,New Prabhat Welfare Society,,Social welfare.,"1053 A, Tikri Kalan, North West
Delhi",newprabhat_welfaresocity@yahoo.co.in,Jogender Singh
http://www.socialinfotv.com,Give voice to voiceless using video as an tool.,110096,91-92101 94672,Newstalk Trust,,Give voice to voiceless.,"Iris Villa, A-163, DDA Flats
Delhi",newstalktv@gmail.com,Ram Bharati
,Our aim is to make our people aware about the importance of envionment and save our environment.,110032,91-97110 88825,NGO Prernaa,,To save our environment.,"247, Dda Flats, Mansarovar Park, Shahdara
Delhi",vnttg3888@gmail.com,Vikas Sharma
,Our first and the foremost objective are to provide a common pedestal to all the workers of the ngo where issues related to their rights are dealt with. Advocacy with the government to implement minimum wage for ngo workers. Advocacy with funding agencies as well as ngo heads for ngo workers social security and job security. To aware ngo workers for their rights as well as the various issues which they have to deal with.,110093,91-98182 72721,Ngo Workers Association,,We ngo workers talk about spreading awareness. We fight for people’s right not only with the government.,"F-1/ 418, Sunder Nagri, North-East
Delhi",ngoworkersassociation@yahoo.com,Sahil
http://www.ngwwa.webs.com,"NGWWA is a non profit and non government organization. Established in 2005, this is the only NGO in Jamia Nagar which is extensively working on women empowerment, including a range of activities such as, health and hygiene awareness, imparting vocational and non -formal education and various other programmes. NGGWA is running its own polytechnic- IAT polytechnic in the sphere of vocational education. This is a secular organisation which works on building peace and communal harmony. Our special focus is to bring women into the mainstream of peace building and encourage them to take peace initiatives.",110025,91-98187 83750,NGWWA – New Generation Women Welfare Association,91-11-29532375,"Networking, Women empowerment.","D 29, Abul Fazal Enclave, Okhla Jamia Nagar
New Delhi",mohammad_alig@yahoo.com,Mohammad Ali
,"Health care, education, upliftment of the poor section of community.",110033,91-98718 43888,Nidan Welfare Society,,,"864, Bhalswa, Ravidas Nagar
Delhi",ngonidan2000@gmail.com,Ravinder Tyagi
,Development social skill of people who live in slum area. Teach all people of slum are how to live and development yourself. Prevent child labour and educate etc.,110020,91-99536 87765,Nirmal Samaj,,"Social development, help poor people.","E-40/1, Jivan Jyoti Rajiv Camp
New Delhi",rajesh1197@gmail.com,Rajesh Kumar
http://www.nirvanafoundation.in,"Children’s education and childrens treatment center services. In addition, other services include vocational training, empowerment, sensitization, education, welfare and development of women and backward community, intensive counseling service for families and children, etc.",110085,91-97117 42005,Nirvana Foundation,,"Education, health, women empowerment, child development.","D 25, 14, Sector 14, Tulsi Apartments, Rohini
Delhi",rahulpunia@yahoo.co.in,Rahul Punia
,To reduce the incidence of maternal and infant morbidity and mortality  as well as improve the nutritional status of women and children in an urban settlement of Delhi.,110070,91-98714 84626,Nishchay Foundation,91-11-26122223,Improving the sexual and reproducitve health of women and nutritional status of children.,"A/A 1093, Vasant Kunj
New Delhi",nishagupt@gmail.com,Dr. Nisha Gupta
,"Self employment to youth, education to all, health, food for all, vocational training, education, environment programme etc.",110062,91-98688 22708,Nival Samuday Kalyan Sangh,,,"D-I/43, Dr. Ambedkar Nagar, Sector 4
New Delhi",nskswswf@gmail.com,Pradeep Kumar
,"Medical care, eduction, social welfare and relief work.",110013,91-93122 16182,Nizamia Charitable Trust,,"Spread love, peace and brotherhood.","T-384/B, Basti Hzt. Nizamauddin
New Delhi",nct1983@hotmail.com,Dr. S.M.A. Nizami
,"Our mission is all the poor urban children who are roaming in the redlight areas, beggers, all the doing child labourer due to hunger and poverty we want to eradicate totally and fighting for their equal status in the society as they grow with free education, counselling them to study, with free study materials all the poor people who are deprive their schooling due to poverty. Our aim within 5 years Delhi will be the target of our child development.",110065,91-99530 33044,NOC – New Opportunity for Childrens,,"Women empowerment, child development.","S 53/132, Gandhi Camp, Shriniwaspuri
New Delhi",new.opportunity4childrens@gmmail.com,Jitender Kumar Mukhi
"http://www.nrdcindia.com, http://www.innovate-india.in","Development, promotion and transfer of appropriate technologies for socio-economic transformation.",110048,91-98100 31212,NRDC – National Research Development Corporation,91-11-29240401,Developmental partnership,"20-22, Zamroodpur Community Centre, Kailash Colony Extension
New Delhi","write2@nrdc.in, nkbhandari@nrdc.in",NK Bhandari
http://www.nrif.org.in,"To set up, assist, carry out research, design and, offer consultancy services to undertake process to develop viable and sustainable solutions to problems related to agriculture, forestry, environment, natural resources, water management, rural need for food, development finance, economic security and rural women empowerment programs in different parts of the country. To encourage commitment to voluntary action for the developmental role in all the stages of project cycle relating to",110087,91-98102 43385,NRIF – Natural Resources India Foundations,91-11-25289265,A multi-disciplinary research and consultancy society offering professional services / turnkey jobs.,"155, New GH 6, White Apartments, Sunder Vihar
New Delhi",info@nrif.org.in,"R P Mattoo, Eminent Citizen"
http://www.nutanprayatn.com/org,To make the environment healthy and to serve the nation with our best efforts. So that number of persons may be benefitted from our NGO.,110084,"91-98998 87177, 91-99531 50075",Nutan Prayatn,,To serve the society.,"B-63, Pardhan Enclave
Delhi",nutanprayatn@gmail.com,Pankaj Singh.
http://www.octweb.org,"To create a just and equitable society based on the principles of love, compassion and brotherhood expounded by Jesus Christ. To educate people suffering from difficulties, for life by teaching them to learn from individual and social experience and help them to develop their skills and capacity in a manner to bring about a positive and sustainable betterment of the social order by emphasizing the growth of the individual as well as the community.",110085,91-99113 91719,Oasis Charitable Trust,91-11-27868817,,"I.P.C, C 8, Sector 8, Rohini
New Delhi",jyothyprem@yahoo.co.in,Jyothyprem
,"OIRC a pour but de prévenir par un systeme d’alerte rapide toute survenance des catastrophes en général, d’intervenir sur le terrain avec l’appuis de l’assistance humanitaire aupres des victimes des catastrophes en tout lieu et de contribuer au development humain durable apportant une assistance psychosociale, medico-sanitaire aux personnes desheritees. OIRC aims to prevent a rapid alert system any occurrence of disasters in general, to intervene on the ground with the support of humanitarian assistance to victims of disasters in any place and contribute to sustainable human development providing psychosocial assistance, medical care to poor people.",110057,91-98106 25689,OIRC – International Organisation for Reduction of Catastrophes,91-11-26151807,Reduction of disasters,"A 21, Hill View Apartment
New Delhi",oircnewdelhiindia@yahoo.fr,
http://www.orjs.org,"To run workshop, training program. Establish run ashram, mandir. Run resitential schools, colleges, aganwadi for children. Provide facilities for libraries, reading rooms. Run sports training centres, sports hostels and sport fields. Family advisor centres for rehabilitation of widows, divorces. Wordwide carrier opportunities etc.",110092,91-98184 94500,Om Rashtriya Janhit Sangthan,91-120-4121470,"Education, health, water, women help, residental school, family advisor centres etc.","65/A, PH Complex, Vijay Block, Laxmi Nagar, SK -71, Shastri Nagar, Ghaziabad
Delhi",reach24manu@yahoo.co.in,Manvendra Singh
,To be helpful to who needs help.,110059,91-98999 60251,Om Shri Sai Sewa Samiti,91-11-25352251,,"L-38, Som Bazar Road, Mohan Garden, Uttam Nagar
New Delhi",kkbansalandcompany@gmail.com,K K Bansal
http://www.freewebs.com/drpaoginmangte,"To uplift the down trodden and needy people, children, widow, drug addicted youth. To bring hope to the society, individual, the world about tomorrow, better living, and eternal life through lord Jesus Christ. To spread the messages of the lord Jesus Christ and for the extension of his (jesus) kingdom.",110023,91-93139 71925,Oneness Pentecostal Christian Church Independent,,"To bring a hope society, individual, the world, the mankind.","1, Kidwai Nagar
New Delhi",opccnewdelhi@yahoo.co.in,Dr. Paogin Mangte
http://www.onustrust.org,"Establish education institute for weaker section, preventive care hospital. Awareness for healthy environment, rights of vote, women health care etc.",110092,91-96505 30009,Onus Trust,91-11-65244851,Education & health.,"J-70, Ground Floor, Gali 4, Laxmi Nagar
Delhi",info@onustrust.org,Sunil Singh
http://www.opcarfoundation.org,"Integrated welfare of the Society providing education and help to children in need, financial support to disabled persons and poor widows, health camps & talent hunting.",110017,"91-98911 37958, 91-99111 01689",Opcar Foundation,"91-11-26868598, 91-11-25526334","Helping underprivileged children, disabled persons & widows, health camps.","D 2, Golf View Apartments, Saket
New Delhi",opcar_foundation@rediffmail.com,"Rekha Banka, N.L. Kumar"
,"We provide the general insurance policies like health, corp, personal accident, fire & theft etc insurance cover for women and family in the rural area in Kerala.",110030,"91-99685 26901, 91-94471 10795",Organate for the Nation’s Advantages by a Mission,,Provide health insurance for women and family in rural area.,"213 F, Harekrishna Apartment, Ward 2, Mehrauli
New Delhi",organate@gmail.com,K.V.Raju
http://www.realitytourism.org,"To promote responsible and community-based tourism so that locals can enjoy increased socio-economic benefits and improved environment. To develop tourism with dignity, respect and nurture local cultures so that they enrich the tourism experience and build pride and confidence among local communities. To minimize negative social, economical and environmental impacts of mass tourism and promote tourism which is sustainable. To raise funds and to receive donations, subscription, gifts and consideration to make provision for the implementation of the above objectives.",110085,91-97410 77522,Organisation for Responsible & Community-Based Tourism,,"To develop a better society by involving international volunteers, NGOs and other organsiations.","83, Sur Air, Sec. 15, Rohini
New Delhi",realitytourism@gmail.com,Praveen Maan
http://www.oscayouth.com,Fitness Awareness for senior citizens. education Awareness for poor childrens. We guide students to secure their future. Help for poor people for legal matters.,110092,"91-98911 19407, 91-98680 84927",Osca Youth,91-11-42418944,Awareness,"A 149, Sarpanch Bara, Mandawali Fazalpur
Delhi",oscayouth@gmail.com,Praveen Dutt Chaturvedi
,Tweet,110048,91-92127 44556,Padmanand Sarswati Trust,,,"E-127, G.K. II
Delhi",pkkaudinya@gmail.com,P K Kaudinya
http://www.parasmani.net,"Proposed on a large land area enriched with serene natural beauty and packed with divine energy, world’s best residential center for treatment and research in yoga, naturopathy & other holistic science.",110018,91-93139 92824,PARASMANI,,Promotion of yoga & naturopathy,"15 D/1, Street 12, Krishna Puri
New Delhi",parasmaningo@rediffmail.com,Ajay Bhalla
http://www.parikramaonline.com,"About their environment in which they live & are going to live for next decades, making them aware of their responsibilities towards the next generation, and how they protect their environment for the future generation. About girl child education, now a day we are more concerned about our children’s education but we ignore the education of girls. Gender bias has crept into our society, which has resulted in negligence of girl child. There is a need to make our society understand the equality of sexes in term of their education. More social research in this field is need of time. Education about hiv/aids, which has infected thousand of indians, is one of the objectives of Parikrama. Awareness among masses at present is the only cure for this dreaded disease.",110051,91-98118 58588,PARIKRAMA,91-11-22436023,"Education, environment, girl child education, rural development.","43, Sham Nagar, Parwana Road, Post Office Krishna Nagar
Delhi",neelu_kalra432@yahoo.co.in,Anil Kalra
,"To prioritize the identified needs of the under privilege section and motivate them for exploring in solution to their suffering for joining them in the mainstream of development. To improve the equality of life amongst urban and rural poor through facilitating integrated community development i.e. Health, education, community development training and income generation programmes. To enhance level of awareness knowledge and consciousness of urban and rural poor for making them capable of identifying their needs, problems, barriers, shortcomings indigenous resources etc.",110053,"91-98115 76998, 91-98112 90655",Participatory Action for Humanitarian Approach Action & Learning,,Social Welfare.,"Delhi
Delhi",pahalorg@gmail.com,"Harsh Sharma, Harish Joshiya"
http://pnpindia.org/default.aspx,"To catalyze, support and strengthen sustainable development; To act as a catalyst in promoting economic development and welfare for all, especially the marginalised and weaker sections of the society including women, children, scheduled castes and tribes, disabled, and physically or mentally challenged; To promote fair and equitable sharing of benefits arising from natural resource conservation, use, and management; To create a mechanism for advocacy, legal aid and information services on common causes and issues affecting human future; To conduct and promote conceptual and policy relevant research.",110070,"91-98991 75657, 95601 07700",Partners in Prosperity,91-11-26121386,Networking,"C6/6048, Vasant Kunj
New Delhi",vivek.pnpindia@gmail.com,"Manab Chakraborty, Vivek Kumar"
,"To promote, aid and encourage education in all fields including technical education, education in computers, education in physical training, training in handicrafts, cottage industries, computers and other useful crafts among poor and rural people especially women and children; To provide an intellectual platform for awareness on social welfare schemes run by government on time to time; To educated people towards disadvances of tobacco and its products and setting up rehabilitation centres or nasha mukti kendra with the help of other agencies who are working for the welfare of such peoples. Shall setup maternity centres and special arrangements in hospitals. Shall educate them on family planning.",110094,91-99683 13005,Parvatiya Jan Kalyan Mission,,,"A-09, Street 5 B
Delhi",ranabhardari@gmail.com,Balwant Singh Rana
,Social works.,110033,91-99114 92759,Paryavaran Sanrakshan Evam Adivasi Vikas Kendra,,,"J-1, Ground Floor, Jahangirpuri
Delhi",mja8414@rediffmail.com,M.Ahmad
,"Women, child development, natural disaster & renewable energy in slum areas.",110086,91-92502 08591,Path Ke Sathi,,"Women, child development & natural disaster etc.","F-1/460, Sultan Puri, North-West
Delhi",path_ke_sathi@yahoo.com,Suraj Arya
,"Spreading environmental awareness, protection of old monuments, bringing hidden talents of youth on surface etc.",110003,91-98112 67752,Pathfinder’s Club of India,,,"H-10, BK Dutt Colony, Jor Bagh
New Delhi",pathfinders_97@hotmail.com,M. Natesan
,To bring in the lives of every individual the first ray of hope and from hope make every dream a reality.,110075,91-98103 45823,PEHLIKIRAN,,Service to the under priviledged,"354-DDA, SFS Flats, Sector 22
New Delhi",deepakdogra68@yahoo.co.in,Deepak Dogra
http://www.philanthrope.in,"If people are trained in emergency management, injuries caused due to natural and man-made disasters and sudden illnesses can be effectively managed till professional medical assistance reaches the injured person. Studies have shown that when at least 30% of the population is trained in disaster preparedness, the chances of survival of victim increase considerably. Research indicates that organizations where employees were trained on injury prevention and emergency management, there was significant improvement in the levels of employee motivation and confidence in their organization leader.",110049,91-98111 66266,PHILANTHROPE,91-11-26491234,Health,"747, Asian Games Village, August Kranti Marg,Shahpur jat
New Delhi",info@philanthrope.in,Dr. Angeli Qwatra
,"Physical education foundation of india pefi is a registered non governmental organization established in the year 2008 under the president ship of dr. Sanjay paswan, former minister, (govt. Of india) with the aim to develop physical education & sports at grass root level in india. To eradicates the corruption from physical education & sports. To work for the right of physical education teachers & update their knowledge by conducting various conferences on the latest research finding in the field of physical education & sport and to creates more job opportunities the field of physical education & sports.",110091,91-92127 99477,Physical Education Foundation of India,,To develop the physical education and sports at grass root level in country.,"B/29, Gali 8, Shashi Garden
Delhi",pefindia@gmail.com,Piyush Jain
http://www.physiotrustindia.com,"Physiotherapy trust of India’s Philosophy our approach is to identify the cause of your pain or injury at the earliest possible stage. Once the cause has been identified we use a combination of manual therapy, exercise prescription, education and support to provide you with a long term solution to your problem at your place. We aim to give the very best in assessment, clinical diagnosis and treatment, always making sure that you fully understand your problem and what your treatment entails.",110025,91-98189 22699,Physiotherapy Trust of India,,Freedom from pain & disability.,"H 69, Abul Fazal, Jamia Nagar
New Delhi",snashtar@gmail.com,Dr. M.S. Nashtar
,To provide education to the people of the lowest strata of society and work for their welfare.,110067,91-98738 86819,Pinnacle Welfare Society for Social Change,91-11-32569804,Education,"28 B/6, Jia Sarai
New Delhi",lionheart_vandamme@yahoo.co.in,Saurav Singh
,To create opportunities of earning livelihood through micro financing and training to the vulnerable section. To provide social security to the unorganized sector i.e. poor labourers and workers through life insurance policy and subsidized pension plans.,110028,91-99715 10050,Planet Help Society,,Providing livelihood opportunity to the unorganised sector of the society.,"CB-239, Ring Road
New Delhi",mail2planethelp@gmail.com,Summit Kumar Verma
,"Helping poor people by providing free education medicin, help to senior citizen.",110074,91-98718 19297,Poor People Organization,,"Providing free computer education for poor people, rural and urban area all over India","391, New Delhi
New Delhi",poorpeopleorganization@gmail.com,K.Krishna
http://www.pragatipathik.org,To cultivate and motivate individuals to achieve their goals.,110092,91-92103 67326,Pragati Pathik,,Personality development.,"174, New Rajdhani Enclave, Vikas Marg
Delhi",pragati.pathik@gmail.com,Praveen Narang
,Awareness of social work.,110033,91-98180 07433,Pragtaisheel Yuva Sangh,,Social work,"A-29 Street 6, Mahendra Park
Delhi",sarthakacademy@yahoo.com,Avinash Kumar Singh
,"To develop the society with modern computer education. Built up the nation and providing the training and generate employment, to youth, women living in slum and rural areas.",110040,91-92139 42498,Pragya Network Educational Society,,Trained and generate employment.,"3, First Floor, Sector A-10, Narela
Delhi",pnes@webduia.com,Mukesh Kumar
,Provide training and other support to the women for empowered them for arising his living standard in the society.,110094,91-93116 09547,Pragya Prashikshan & Kalyankari Sansthan,,Want fund and Technical support on training of women.,"B 336/2, 3, Meet Nagar
Delhi",vishnukant79@rediffmail.com,Vishnukant Gupta
http://www.mgiit.org,"Education is the process by which an individual is encouraged and enabled to fully develop his or her potential; it may also serve the purpose of equipping the individual with what is necessary to be a productive member of society. Through teaching and learning the individual acquires and develops knowledge and skills. The term education is often used to refer to formal education. However, the words broader meaning covers a range of experiences, from formal learning to the building of understanding and knowledge through day to day experiences. Ultimately, all that we experience serves as a form of education.",110043,91-99909 14416,Pragya Shiksha Prasar Society,,Eucational,"C-2/14, Nangli Vihar Extn., Baprola, Najafgrh
Delhi",kunal5000@yahoo.com,Kunal Kishor
,"Awareness on environment, education and empowerment. Excange information, guidelines. Publish books, periodcals, e-magzines. Assist scientific research and found cost effective and technological advanced solutions for the people and to support research in these fields. Award and institute fellowship to scholars working in these fields.",110092,"91-98711 21555, 91-98110 22308",Prajit Foundation,91-11-22724640,"Environment, education and empowerment.","3, CSC 4, DDA Market, Opp. Mayur Public School, Ptparganj
Delhi",prajitfoundation@gmail.com,"Jitendra Anand, Jatin Bhandari"
http://www.prakash-india.org,"Consumer welfare, environment protection and anticorruption.",110035,91-98918 27669,Prakash India,91-11-27195251,Consumerisum,"C 2/35 B, Keshav Puram
Delhi",spm.prakash@yahoo.com,S.P. Manchanda
http://www.prakritisurakshyaparishad.org,"Socio economic, culture, environment etc.",110044,"91-99105 18581, 91-97115 81740",Prakriti Surakshya Parishad,,"Socio economic, heritage, culture, environment,","Badarpur, New Delhi
New Delhi",rajivgandhiaward@gmail.com,Tapan
,To help all type disablede children.,110041,91-98914 92177,Prateek – An Institute for Children With Special Needs,,For help the disabled children.,"H 125, Kunwar Singh Nagar, Budh Bazar Road, Nilothi, Nangloi
New Delhi",prateek_school@rediff.com,Amit Kumar
http://www.pratigya.org.in,Develop all types of education & employment for youth. All around development special in Education.,110088,91-98919 82983,Pratigya Educational Initiative Society,91-11-32042369,"For a better tomorrow for weaker sections.,Education","272/5 Bandh Gali, Ambedkar Nagar, Haider Pur
Delhi","info@pratigya.org.in,Pratigyango05@hotmail.com","Ajay Saini,Chetan Kapoor"
,Tweet,110045,91-98188 85855,Pravasi Sewa Dal Samiti Mahavir Enclave,,"Social development, education health.","C-3/189, Mahavir Enclave
New Delhi",sasabhay@yahoo.co.in,Abhay Mishra
,Jan sewa,110084,91-99588 32011,Prayas Jan Sewa Society,,,"D 458, Sultanpuri
Delhi",manju_raju777@yahoo.co.in,Shalu
,"The major goals of empowerment of underprivileged children and social transformation is to ensure quality education, along with the formal education among the target children of the oppressed poor community and also aiming at empowering them to have control over their life, resources and body, to empower them with the needed information in order to make them avail abundant or fuller life. Empower the socially neglected, poor, deprived and underprivileged children with the provision of remedial teaching and quality education; provide them with opportunities to bring out their talents and shine.",110049,91-99112 17995,Prerna Social Development & Welfare Society,91-11-46066977,,"55, Gautam Nagar
New Delhi",prerna_ngo@yahoo.co.in,Palvinder Singh
http://www.presssociety.trypod.com,Purpose of society is uplift the weeker section of society and employment of reporters or media personels. To solve the housing problems of press reporters and weeker section of society. To start a fund regulation for any kind of death of press reporters family in any kind of accident of press reporters.,110013,91-98113 73411,Press Reporters Empowerment Social Society,91-120-4237657,To work for upliftment of all kind of weeker sections of society including press reporters.,"T-21, Basti Nizammudin
New Delhi",presssociety@gmail.com,Ajay Kumar Singh
http://www.supportpridefoundation.org,"Pride Foundation is a non government, non-religious and non-profitable social service organization with the sole objective of providing housing facility at minimum bare cost for the defence personnel, either they are currently working or retired. At Pride Foundation, we offer the house at minimum costing (lesser than market) i.e. under Defence Scheme.",122001,"91-92509 20004, 91-99903 21321",Pride Foundation,91-124-4362321,Welfare of defence persnal.,"3, First Floor Laxmi Complex, Opp. Hanuman Murti, Main Sadar Bazaar
Gurgaon",supportpridefoundation@gmail.com,Naresh Saini
,"Main honrary, iss Pradesh ki unnati ke liye karya karna cahata hoon kripya, mere layak koi sewa bataeyn aap kai aati kripya hogi.",110033,91-98114 39345,Prince Thakur Dadhwal,,"Sewa, honrary","B-44-Y, DDA Flats, Jahangir Puri
Delhi",amandeep_dadhwal@yahoo.com,Prince
,"Social, cultural & educational programmes, vocational and technical institutions, human rights, consumer protection and education, rti, children’s rights and education, women’s rights and education, labours rights and development, health development and education, environment, legal, disaster management and education, old age & physically handicapped, drugs, e-governance, economics research, smart govt. and development, social justice, trimester news letter magazine journal, and all type society related works.",110008,"91-92686 21498, 91-93868 77710",PSDO – Peoples Society & Development Organization,91-11-20479833,All social works,"C/o Mithilesh Kumar, F 70, West Patel Nagar
New Delhi",info.psdo@gmail.com,Mithilesh Kumar
,"To provide help poor section of society, old women, widows & disabled people & to mentain the hospitals, mandir, dharamshalas, gau shalas, children home & old age home.",110034,"91-98991 35373, 91-93113 35373",Public Health & Child Welfare Society,91-11-42641170,To serve the whole society without any motive in best manner.,"E-945, Saraswati Vihar, Pitam Pura
Delhi",phcws@yahoo.in,Deepak Verma
http://www.phro.in,All public health related activities.,110077,91-98117 57700,Public Health Resources Organization,,Development of public health resources.,"C-112, Dream Apartments, Plot 14
New Delhi",narayana@immbasics.org,M V Narayana
www.sciencesafari.org,"To collaborate and organize the programmes for mutual, physical and society development for the welfare of the men, the women and the children in the concerned areas. To provide free/ concessional education to the poor and needy children especially handicapped, orphans and others. To organize seminars on social justice, education and economical upliftment of the weaker section of the community. To demand for legal rights and privileges for SC/ST, Minority community and other people who belong to backward classes. To open centers/ institutes for diagnostic, curative and research work for Cancer, HIV/AIDS, deadly diseases.",110055,91-98113 42456,Public Voice,91-11-30402487,"Social,Health & education.","5216 GF, Basant Road, Paharganj
New Delhi",infolatest@yahoo.com,M. Asif
http://www.sebayan.org,"To act as a facilitator for social integrative development projects in Sundarban delta clustor, a backward district in West Bengal.",110025,91-98106 66775,Purba – Dwarakapur Sebayan Sangha,91-11-26932915,Integrative social developmet,"202, Sukhdev Vihar, DDA Flat, Pocket-B
New Delhi",chotohimu@rediffmail.com,H S Rauth Hon Advisor
,To protect labour childern rights. To open the orphange.,110033,91-92139 60099,Puspanjali Social Welfare Society,,Child Rights,"311, Bhlsawa
Delhi",,Naveen Hatta
,National development.,110092,91-99563 90547,Rakshak Foundation,91-11-65735216,"ICT, rural development, human awareness, education.","16-A, Street 13, Mandawali, Patpargunj
New Delhi",vidhuranjan@gmail.com,Vidhu Ranjan Gopal
,"Work for our rural society, poor people, children, uneducated society, change our nation.",110085,91-92137 30439,Ram Krishna Social & Educational Welefare Society,,Social development.,"A 5/88, 2nd Floor, Sector 17, Rohini
New Delhi",ramkrishnasewsociety@yahoo.com,Arun Pal
,"I.E.C through street play, documentry play.",110072,91-98100 58431,RANGASHREE,,,"72, Rangashree House, Pocket 4, Sec 12
Delhi",rangashree@rocketmail.com,M.P. Singh
,Health camp awareness programme rural development programme.,110038,91-93124 09682,Rao Dalchand Social Welfare & Development Society,,Sociel welfare.,"Khasra No 436, Office Rajokari
New Delhi",raodalchandsociety@radiffmail.com,Sunil Yadav
http://www.rssaindia.org.in,"Rashtriya Sarv Shiksha Abhiyan is one of the premier organization in the field of information technology. It was established at Delhi in September 2007, RSSA has added numerous feathers to its colorful cap of quality education and has opened its new IT centers in various states.",110036,91-92121 64760,Rashtriya Sarv Shiksha Abhiyan,"91-9310404760, 011 65164760",Education,"60-A, Kashmiri Colony, Shiva Enclave, Hiranki
Delhi",info@rssaindia.org.in,Satyapal Singh Sisodia
http://www.rssaworld.org,"Rashtriya Sarva Saksar Abhiyan is working for computer, mobile and technical literacy in northern part of India. Currently we have 200 computer training branches in Bihar, Jharkhnad, Up and West Bengal. Currently we have tie-ups with MPCON, a joint venture of IFCI, IDBI and ICICI. Our main aim is to provide free technical literacy. We are inviting the NGO and supportive group for tie-ups with us, who want to help rural and semi urban students of nation for their uplifment.",110086,91-92116 49333,Rashtriya Sarva Sakshar Abhiyan,,Computer literacy in all over India.Free computer mobile and technical education.,"2B, Street 4, Kataria Road, Prem Nagar II
Delhi","info.hansera@gmail.com, info.mpitec@gmail.com",Satish Pandey
,To create an envoirnment where people of india can avail their rights without paying bribe to persons in authority.,110091,91-92111 18811,Rastriya Bhrastachar Unmulan Samiti,,Corruption free system.,"Cabin 14, Third Floor, DA-8 Vikas Marg
New Delhi",anticorruption.india134@gmail.com,Durgesh Singh Sengar
,All time work blind woman orphanage.,110043,91-99110 03751,Ravina Jan Kalyan Society,,Blind man and woman.,"A 27 D Virendra Market Colony, Najafgarh
New Delhi",ravinajankalyan_society@rediffmail.com,R.K. Massey
http://www.ngo-rawat.org,RAWAT generate and creates awareness among the clusters of backward community who are subliminal necessitating their participation in the activities and evolve methodology to foster them encounter their problems and difficulties on top priority with greater vigour. Necessary teaching and training in different skills is imparted culminating in the generation of additional funds to meet with their daily needs on SOS basis This gives self- reliant and to rise steadily to join the mainstream.,110045,91-93124 12055,RAWAT – Rural Association for Women’s Alligatory Tribute,91-11-25382526,Serve the vulnerable section of the society with the support of like minded organizations people.,"RZ-222, Shiv Block
New Delhi",rawatorg@gmail.com,"D. S. Rawat, Rajiv Kr. Jha, Supriya Hazra"
http://www.raywelfaretrustngo.org,To take up the development activities awareness programms in urban rural areas. Trust gave emphasis to work in rural urban areas for the benefit of the target community.,110092,91-98102 11104,Ray Welfare Trust,91-11-25188700,Need fund for upgradation of poor vulnurable families.,"16/160, Trilok Puri
Delhi",raywelfaretrustngo@rediffmail.com,Rohit Thakur
http://www.yahoomail.com,Social good in all the noble field and volunteer to exend the helping hand to the unfortunate citizens.,110018,91-99584 80855,Re-Creative Movement of Patriots Society,91-11-28535797,"Service to the social cause, education, water, NRM, women empowerment, rural development disbility, old age care.","FF 103, Pankaj Tower I, Sonia Pvr Complex, Vikaspuri
New Delhi",rm_patriotsasia2006@yahoomail.com,K K Sharma
http://www.realcause.org,"To uplift each and every section of the society irrespective of caste, creed and race by providing and continuing the work of assistance through free medical checkup for eyes, blood pressure, hearts, aids, health camps, awareness camps on different communicable diseases etc by which the common people can be benefitted. With the growing populations and problem faced by the people, there are still a lot of people where we felt are unreached and problem cannot be solved wihtout any govt funding or funding agency’s support. We cannot be substitute for the govt programs but we can complement the program by integrating our program with overall development at the grass root level. Hence our main activity would be the Medical Assistance.",110025,"91-98111 78611, 91-98102 65024",Real Cause,91-11-65688587,Health & education,"18/85, Zakir Nagar, Street 38, Opp. New Friends Colony, Okhla
New Delhi",realcausengo@gmail.com,"Kamran Siddiqui, Haroon Siddiqui"
http://www.reallifegroup.org,"Promote education, health, agriculture, computer education and award the deserving candidates for their outstanding performance.",110092,91-98115 75472,Real Life Public Charitable Trust,,"Education, health, agriculture.","S 24 B, Second Floor
Delhi",realeducation1@gmail.com,Dr P K Sinha
http://www.realyog.org,"Propagation of real concept, techniques of yoga to keep one healthy, wealthy, wise and happy.",110097,91-98919 27877,Real Yoga Stream,,To provide genuine yoga services.,"Burari, Delhi
Delhi",yogipadma@realyog.com,Yogi Padma
,"Liberate the nation from corruption, terrorists, starvarion, nara jai hind.",110018,91-99584 80855,Recreative Movement of Patriots Society,,Corruption free services.,"103 FF, Pankaj Tower, II Vikaspuri
New Delhi",rm_patriotsasia2006@yahoo.co.in,K K Sharma
http://www.reform.co.nr,We have mission to eliminate child labour and to make people aware about environmental issues.,110092,91-97180 14993,Reform India,91-11-22431755,"Education, health, environment.","55, VK Park
New Delhi",rahulkumar07@aitdelhi.net,Rahul Kumar
http://www.radoindia.webs.com,Tweet,110053,91-98681 66106,Right Awareness & Development Organization,,Social welfare and development.,"108, Village Garhi Mandu Near, Bhajanpura
Delhi",president_rado@rediffmail.com,"Rajni Lohia, Dinesh Kumar"
